"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","ZCTA5A","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","AM0KE001","AM0KE002","AM0KE003","AM0KE004","AM0KE005","AM0KE006","AM63E001","AM63E002","AM63E003","AM63E004","AM63E005","AM63E006","AM63E007","AM63E008","AM63E009","AM63E010","AM63E011","AM63E012","AM63E013","AM63E014","AM63E015","AM63E016","AM63E017","AM63E018","AM63E019","AM63E020","AM63E021","AM63E022","AM63E023","AM63E024","AM63E025","AM63E026","AM63E027","AM63E028","AM63E029","AM63E030","AM63E031","AM63E032","AM63E033","AM63E034","AM63E035","AM63E036","AM63E037","AM63E038","AM63E039","AM63E040","AM63E041","AM63E042","AM63E043","AM63E044","AM63E045","AM63E046","AM63E047","AM63E048","AM63E049","AM63E050","AM63E051","AM63E052","AM63E053","AM63E054","AM63E055","AM63E056","AM63E057","AM63E058","AM63E059","AM70E001","AM70E002","AM70E003","AM70E004","AM70E005","AM70E006","AM70E007","AM70E008","AM70E009","AM70E010","AM70E011","AM70E012","AM70E013","AM70E014","AM70E015","AM70E016","AM70E017","AM8FE001","AM8FE002","AM8FE003","AM8FE004","AM8FE005","AM8FE006","AM8FE007","AM8FE008","AM8FE009","AM8FE010","AM8FE011","AM8FE012","AM8FE013","AM8FE014","AM8FE015","AM8FE016","AM8FE017","AM8FE018","AM8FE019","AM8FE020","AM8FE021","AM8FE022","AM8FE023","AM8FE024","AM8FE025","AM8FE026","AM8FE027","AM8FE028","AM8FE029","AM8FE030","AM8FE031","AM8FE032","AM8FE033","AM8FE034","AM8FE035","AM8FE036","AM8FE037","AM8FE038","AM8FE039","AM9SE001","FIPS"
"G5101730","2016-2020","VA","","","Virginia","51","Smyth County","173","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51173","Smyth County, Virginia","","30539","29912","29","109","74","415","29772","5575","2558","215","17","245","114","32","49","241","360","239","263","377","206","200","3017","239","26","233","143","0","151","309","521","272","265","467","198","193","24197","12081","489","55","733","547","139","324","927","1437","1389","1757","1709","1517","1058","12116","457","147","624","416","94","263","734","1162","1487","1890","1725","1746","1371","29772","5575","497","478","489","2879","839","333","60","24197","1148","1357","1783","12469","5011","1918","511","29911","14707","719","40","679","2308","383","1925","2965","336","2629","5734","1488","4246","1723","850","873","1258","583","675","15204","705","33","672","2159","163","1996","2726","341","2385","6106","1704","4402","1944","732","1212","1564","790","774","0.4322","51173"
"G5101750","2016-2020","VA","","","Virginia","51","Southampton County","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51175","Southampton County, Virginia","","17829","17461","27","115","175","51","16258","1263","426","49","0","70","29","4","0","8","19","58","114","36","34","5","837","54","10","140","11","0","4","22","132","97","146","96","35","90","14995","7592","383","45","504","250","128","233","518","798","766","1228","1269","891","579","7403","379","61","481","200","144","176","529","688","773","1027","1267","973","705","16258","1263","113","210","48","640","157","49","46","14995","868","985","1131","7477","3250","1007","277","16337","8066","445","0","445","1329","143","1186","1336","77","1259","3447","434","3013","925","226","699","584","323","261","8271","433","0","433","1265","57","1208","1364","138","1226","3406","520","2886","1008","193","815","795","560","235","0.3758","51175"
"G5101770","2016-2020","VA","","","Virginia","51","Spotsylvania County","177","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51177","Spotsylvania County, Virginia","","134683","121561","730","2376","6187","3829","133883","9456","4241","355","70","540","329","120","189","644","399","335","306","413","400","141","5215","358","132","597","217","242","213","595","681","725","385","455","406","209","124427","61510","3852","752","4656","3012","938","1890","5115","8034","8205","8950","8208","4993","2905","62917","3679","818","4507","2957","856","1674","4858","7774","8101","9454","8507","5978","3754","133883","9456","915","1137","1310","4461","1283","271","79","124427","9101","9163","11327","69366","18811","4987","1672","133772","65633","4255","52","4203","12810","952","11858","14003","1177","12826","26126","2596","23530","5393","1366","4027","3046","1376","1670","68139","4092","113","3979","12286","261","12025","13837","1215","12622","27577","2473","25104","6384","1520","4864","3963","2046","1917","0.3992","51177"
"G5101790","2016-2020","VA","","","Virginia","51","Stafford County","179","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51179","Stafford County, Virginia","","150185","129197","1027","3640","8657","7664","145929","7993","3122","304","34","324","70","105","67","400","317","404","524","315","202","56","4871","350","86","829","254","20","182","800","660","635","404","279","191","181","137936","69232","4465","893","6595","3326","992","2446","5943","9334","9836","10179","8459","4433","2331","68704","4221","895","5681","3011","1595","1794","5689","8664","9849","10652","8583","5204","2866","145929","7993","774","1153","698","4538","593","201","36","137936","10474","12276","13164","80118","16707","4295","902","144353","70674","4860","6","4854","15006","631","14375","15021","832","14189","28765","2232","26533","4635","1249","3386","2387","1092","1295","73679","4665","0","4665","14507","333","14174","15754","544","15210","30311","2984","27327","5395","1315","4080","3047","1246","1801","0.3740","51179"
"G5101810","2016-2020","VA","","","Virginia","51","Surry County","181","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51181","Surry County, Virginia","","6459","6268","0","28","60","103","6453","1052","336","27","0","71","16","0","3","6","68","25","27","69","17","7","716","23","2","22","77","0","56","64","35","86","42","157","113","39","5401","2767","110","65","113","85","33","11","148","333","283","393","545","415","233","2634","129","1","126","66","63","41","166","290","223","438","476","331","284","6453","1052","52","93","152","483","226","36","10","5401","305","239","299","2792","1249","370","147","6430","3095","137","0","137","397","42","355","555","15","540","1334","217","1117","432","59","373","240","91","149","3335","158","0","158","454","83","371","534","11","523","1422","236","1186","444","148","296","323","206","117","0.4049","51181"
"G5101830","2016-2020","VA","","","Virginia","51","Sussex County","183","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51183","Sussex County, Virginia","","11202","10919","15","34","120","114","9240","1036","560","29","0","80","27","10","27","44","25","28","64","118","52","56","476","24","0","23","23","0","10","19","53","34","50","90","49","101","8204","4373","224","54","359","72","41","71","723","582","439","594","512","467","235","3831","172","4","220","73","83","61","258","421","442","580","608","544","365","9240","1036","53","103","97","381","245","120","37","8204","454","579","401","4594","1576","452","148","9244","4907","253","0","253","741","77","664","1374","42","1332","1729","294","1435","519","112","407","291","139","152","4337","202","11","191","523","24","499","749","70","679","1804","376","1428","593","218","375","466","294","172","0.4199","51183"
"G5101850","2016-2020","VA","","","Virginia","51","Tazewell County","185","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51185","Tazewell County, Virginia","","41201","40681","12","164","191","153","39572","6721","2618","253","24","468","131","70","65","246","247","182","262","426","103","141","4103","284","54","412","68","103","103","370","554","460","416","591","302","386","32851","16480","795","97","1020","435","259","400","1106","1816","2127","2362","2385","2427","1251","16371","825","72","1075","414","165","289","1021","1458","1901","2189","2632","2484","1846","39572","6721","615","880","540","3266","893","398","129","32851","1789","2095","1962","16427","7481","2462","635","39879","19277","1090","11","1079","2981","299","2682","3553","351","3202","7731","1740","5991","2530","859","1671","1392","763","629","20602","1109","0","1109","2800","175","2625","3486","303","3183","8189","1776","6413","2786","994","1792","2232","1356","876","0.4804","51185"
"G5101870","2016-2020","VA","","","Virginia","51","Warren County","187","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51187","Warren County, Virginia","","39888","37220","62","709","970","927","39077","4224","1967","110","101","236","135","36","150","193","72","341","233","257","63","40","2257","111","6","353","66","212","54","188","235","429","161","213","135","94","34853","17566","971","275","1086","644","136","443","1359","2479","1908","2616","2880","1774","995","17287","1091","241","1089","585","121","339","1243","2294","1847","2694","2715","1806","1222","39077","4224","328","589","653","1997","523","86","48","34853","2578","2175","2268","19349","6266","1839","378","39600","19763","1088","22","1066","3282","336","2946","4286","380","3906","8235","1092","7143","1837","658","1179","1035","536","499","19837","1202","23","1179","3129","433","2696","4190","166","4024","8059","913","7146","1941","399","1542","1316","690","626","0.4074","51187"
"G5101910","2016-2020","VA","","","Virginia","51","Washington County","191","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51191","Washington County, Virginia","","54005","53141","40","159","293","372","52116","7056","3565","179","58","387","205","16","80","269","341","522","400","486","390","232","3491","227","39","262","82","35","101","250","494","432","413","452","477","227","45060","21838","974","200","1157","705","354","480","1499","2408","2487","3117","3439","3009","2009","23222","827","359","1122","734","252","619","1435","2177","2602","3206","3953","3216","2720","52116","7056","503","649","519","3621","1305","406","53","45060","2360","2279","3144","22359","10189","3612","1117","53130","25982","1153","22","1131","3779","446","3333","4959","410","4549","10451","2262","8189","3399","1017","2382","2241","1181","1060","27148","1061","0","1061","3760","364","3396","4629","384","4245","11058","2381","8677","3693","1005","2688","2947","1728","1219","0.4477","51191"
"G5101930","2016-2020","VA","","","Virginia","51","Westmoreland County","193","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51193","Westmoreland County, Virginia","","17873","16863","53","129","415","413","17715","2786","1222","54","4","133","36","8","0","48","294","84","195","205","120","41","1564","147","0","207","35","0","0","180","222","124","139","240","86","184","14929","7474","381","44","495","294","153","134","615","704","738","848","1169","1119","780","7455","254","33","388","205","136","137","327","856","730","1002","1248","1302","837","17715","2786","205","340","79","1460","477","139","86","14929","712","883","1059","6525","4133","1386","231","17679","8660","525","7","518","1301","129","1172","1661","74","1587","3113","402","2711","1239","284","955","821","414","407","9019","401","0","401","1141","114","1027","1585","37","1548","3483","559","2924","1388","273","1115","1021","503","518","0.4929","51193"
"G5101950","2016-2020","VA","","","Virginia","51","Wise County","195","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51195","Wise County, Virginia","","38032","37325","78","119","201","309","34936","7359","3313","208","79","410","130","35","31","430","348","402","469","381","301","89","4046","316","79","408","146","84","64","461","453","587","657","412","208","171","27577","14035","666","114","679","577","230","349","1151","1848","1637","1829","2298","1639","1018","13542","490","75","952","402","130","364","659","1608","1578","1688","2379","1977","1240","34936","7359","682","818","490","4100","1009","245","15","27577","1345","1631","2052","14089","6202","1631","627","35728","17709","892","8","884","2762","278","2484","3994","385","3609","7014","2464","4550","1940","1120","820","1107","798","309","18019","879","28","851","2737","122","2615","3506","486","3020","7301","2428","4873","2185","802","1383","1411","938","473","0.4536","51195"
"G5101970","2016-2020","VA","","","Virginia","51","Wythe County","197","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51197","Wythe County, Virginia","","28725","28257","0","140","55","273","28420","3806","1702","162","0","149","24","40","103","157","41","253","191","401","135","46","2104","129","12","68","225","20","119","279","231","215","430","206","113","57","24614","12175","465","235","695","475","154","271","899","1485","1377","1946","1660","1559","954","12439","517","10","841","399","58","331","597","1325","1468","1755","2028","1710","1400","28420","3806","303","217","531","2037","615","54","49","24614","1227","1536","1688","12702","5107","1706","648","28560","13956","669","0","669","2183","109","2074","2582","197","2385","5828","1171","4657","1694","510","1184","1000","595","405","14604","662","0","662","2128","140","1988","2432","288","2144","6102","1206","4896","1823","309","1514","1457","822","635","0.4882","51197"
"G5101990","2016-2020","VA","","","Virginia","51","York County","199","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51199","York County, Virginia","","68389","60576","643","1826","3428","1916","66454","3211","1267","112","24","244","83","58","97","61","105","99","59","147","110","68","1944","66","27","151","60","32","22","207","408","275","169","272","73","182","63243","30762","1849","336","2505","1470","332","882","2029","3398","4687","4151","4325","2931","1867","32481","1725","412","2506","1252","700","886","2428","3515","4381","4423","4500","3302","2451","66454","3211","229","395","352","1660","325","125","125","63243","4322","5011","5522","33657","10413","3053","1265","63915","29652","1961","0","1961","6081","449","5632","4737","264","4473","11897","1084","10813","3041","700","2341","1935","817","1118","34263","1810","0","1810","6324","267","6057","6356","403","5953","13765","1383","12382","3375","857","2518","2633","1181","1452","0.3833","51199"
"G5105100","2016-2020","VA","","","Virginia","51","Alexandria city","510","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51510","Alexandria city, Virginia","","158309","111614","1638","3750","17713","23594","156746","14767","6644","1081","73","1143","227","134","110","707","977","928","522","376","288","78","8123","649","159","726","351","60","168","1082","1434","1179","717","690","427","481","141979","68714","4604","561","3347","1757","511","1112","3439","14831","13661","9752","7736","4842","2561","73265","4773","358","3400","1629","567","1022","3883","16411","13293","10146","8410","5815","3558","156746","14767","1962","1869","1050","8010","1317","380","179","141979","10296","6747","6598","93993","18226","4282","1837","154547","73517","5859","0","5859","9011","545","8466","19158","934","18224","31720","2404","29316","5130","824","4306","2639","1062","1577","81030","5480","27","5453","8670","251","8419","22573","517","22056","34026","2068","31958","6242","990","5252","4039","1928","2111","0.4471","51510"
"G5105200","2016-2020","VA","","","Virginia","51","Bristol city","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51520","Bristol city, Virginia","","17059","16923","0","64","33","39","16765","3707","1557","89","48","107","96","170","53","162","221","132","98","212","131","38","2150","340","49","166","95","84","39","188","356","207","95","221","200","110","13058","6395","341","77","356","211","38","157","474","845","768","930","837","804","557","6663","101","35","485","176","124","107","369","726","863","897","956","864","960","16765","3707","526","273","537","1704","519","82","66","13058","554","841","813","6808","2525","1083","434","16880","7984","430","0","430","1313","308","1005","1734","224","1510","2977","617","2360","935","376","559","595","302","293","8896","441","0","441","1360","45","1315","1722","232","1490","3239","808","2431","1064","410","654","1070","562","508","0.4684","51520"
"G5105300","2016-2020","VA","","","Virginia","51","Buena Vista city","530","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51530","Buena Vista city, Virginia","","6477","6385","0","23","17","52","5940","1001","319","0","0","47","11","11","0","40","56","9","116","0","0","29","682","25","0","112","0","0","0","140","143","20","72","143","21","6","4939","2322","103","17","173","124","20","75","280","238","283","277","304","274","154","2617","210","38","239","58","37","32","216","292","215","401","268","335","276","5940","1001","25","159","22","682","78","17","18","4939","368","412","346","2382","1001","347","83","6377","2874","103","0","103","478","0","478","847","35","812","989","213","776","274","106","168","183","48","135","3503","235","0","235","522","52","470","989","107","882","1119","153","966","356","124","232","282","150","132","0.6156","51530"
"G5105400","2016-2020","VA","","","Virginia","51","Charlottesville city","540","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51540","Charlottesville city, Virginia","","47217","41128","57","712","2254","3066","44552","10290","4557","150","46","169","161","41","76","2547","566","242","257","154","133","15","5733","254","15","275","177","43","13","2638","727","470","369","437","249","66","34262","16861","990","67","1048","440","60","222","1166","3907","2627","2036","2152","1397","749","17401","1025","178","1037","342","75","275","977","3980","2533","2145","2067","1633","1134","44552","10290","465","444","511","8053","736","11","70","34262","2260","2085","1414","21817","4803","1314","569","46830","22395","1184","0","1184","2364","74","2290","9171","250","8921","7382","671","6711","1530","405","1125","764","283","481","24435","1296","0","1296","2447","74","2373","9576","290","9286","8034","823","7211","1882","536","1346","1200","630","570","0.5296","51540"
"G5105500","2016-2020","VA","","","Virginia","51","Chesapeake city","550","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51550","Chesapeake city, Virginia","","242647","221955","1517","4629","8640","5906","237081","17747","7639","1142","104","1289","340","314","424","1084","774","568","607","514","332","147","10108","781","161","944","529","318","478","1117","1411","1576","881","1011","565","336","219334","106425","6788","1492","9053","4211","1410","3140","8900","15375","14534","14226","14220","8465","4611","112909","6660","1158","8960","4172","1635","2674","8700","15609","15459","15335","15625","10282","6640","237081","17747","2188","2233","2403","8772","1668","272","211","219334","16098","18013","17242","124597","32133","8716","2535","230153","108277","7978","42","7936","22088","1812","20276","22646","1630","21016","42010","5077","36933","8797","2168","6629","4758","2086","2672","121876","7501","68","7433","21280","894","20386","25770","1448","24322","49502","5149","44353","10847","2513","8334","6976","3254","3722","0.4134","51550"
"G5105700","2016-2020","VA","","","Virginia","51","Colonial Heights city","570","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51570","Colonial Heights city, Virginia","","17283","15750","59","278","785","411","17032","1681","721","80","29","10","104","9","22","38","48","71","157","76","39","38","960","87","26","75","17","0","27","180","106","156","93","123","55","15","15351","7107","324","121","558","318","90","155","507","934","895","991","908","730","576","8244","416","114","551","368","112","193","476","1133","916","1063","1055","891","956","17032","1681","222","85","179","983","159","21","32","15351","975","1109","1236","8142","2357","1096","436","17060","7832","425","15","410","1485","139","1346","1513","160","1353","3026","424","2602","769","166","603","614","265","349","9228","538","0","538","1483","96","1387","1884","130","1754","3406","530","2876","946","233","713","971","528","443","0.4278","51570"
"G5105800","2016-2020","VA","","","Virginia","51","Covington city","580","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51580","Covington city, Virginia","","5653","5421","0","62","136","34","5541","643","250","20","17","27","26","0","0","0","44","70","13","9","24","0","393","22","0","138","0","6","0","37","89","27","42","0","18","14","4898","2307","91","40","176","103","11","13","217","275","294","236","409","296","146","2591","226","0","192","69","0","59","117","332","285","277","430","314","290","5541","643","59","165","32","322","51","14","0","4898","357","368","255","2333","1149","294","142","5551","2562","111","0","111","418","24","394","536","45","491","1031","85","946","320","69","251","146","57","89","2989","248","0","248","469","9","460","575","11","564","1061","155","906","332","38","294","304","138","166","0.4521","51580"
"G5105900","2016-2020","VA","","","Virginia","51","Danville city","590","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51590","Danville city, Virginia","","40668","39088","50","154","433","943","39080","8978","3830","381","151","689","174","21","126","480","286","269","303","520","299","131","5148","540","39","563","171","158","88","389","915","406","651","734","253","241","30102","13979","756","163","913","506","263","433","986","2037","1667","1658","1993","1626","978","16123","685","267","979","471","78","209","1140","1818","1764","2025","2451","2376","1860","39080","8978","1111","1252","738","4269","1236","260","112","30102","1871","1892","1960","15316","6225","1970","868","39536","18077","1137","17","1120","3451","313","3138","4051","467","3584","6404","1563","4841","1925","518","1407","1109","554","555","21459","1233","6","1227","3066","113","2953","4399","487","3912","8031","1976","6055","2629","669","1960","2101","1043","1058","0.4740","51590"
"G5105950","2016-2020","VA","","","Virginia","51","Emporia city","595","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51595","Emporia city, Virginia","","5408","5179","40","50","54","85","5196","1131","401","0","0","86","73","37","32","0","37","17","0","98","15","6","730","62","11","56","98","0","20","35","121","180","1","51","26","69","4065","1879","31","63","146","114","20","188","94","352","171","344","164","115","77","2186","274","15","181","97","27","23","170","254","246","270","234","198","197","5196","1131","73","142","260","505","76","46","29","4065","383","327","469","2089","523","167","107","5196","2280","31","0","31","759","14","745","483","36","447","794","102","692","130","13","117","83","65","18","2916","336","0","336","528","78","450","580","23","557","982","131","851","224","79","145","266","182","84","0.4655","51595"
"G5106000","2016-2020","VA","","","Virginia","51","Fairfax city","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51600","Fairfax city, Virginia","","23312","15938","10","490","3889","2985","22336","2190","778","67","10","21","12","0","22","286","156","104","64","26","10","0","1412","195","0","28","75","0","0","483","199","121","85","64","55","107","20146","10283","665","155","658","327","96","318","738","1552","1487","1452","1484","863","488","9863","589","206","744","196","108","212","581","1238","1504","1466","1406","948","665","22336","2190","272","49","109","1547","106","22","85","20146","1615","1402","1257","11745","2974","916","237","22728","11220","732","0","732","1765","71","1694","2765","51","2714","4597","166","4431","873","113","760","488","172","316","11508","914","0","914","1645","45","1600","2566","80","2486","4608","453","4155","1003","48","955","772","281","491","0.4389","51600"
"G5106100","2016-2020","VA","","","Virginia","51","Falls Church city","610","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51610","Falls Church city, Virginia","","14309","11309","127","439","1598","836","14267","285","126","19","0","0","11","0","0","14","49","11","0","9","13","0","159","0","0","11","0","0","0","33","46","3","35","13","18","0","13982","6768","406","81","725","247","116","255","402","914","1015","1015","818","506","268","7214","348","55","581","372","62","170","565","842","995","1047","1097","588","492","14267","285","19","11","11","213","31","0","0","13982","890","1306","1222","7855","1949","450","310","14215","6818","425","10","415","1435","85","1350","1327","46","1281","2844","76","2768","519","31","488","268","163","105","7397","348","0","348","1285","0","1285","1486","65","1421","3180","299","2881","606","47","559","492","180","312","0.4185","51610"
"G5106200","2016-2020","VA","","","Virginia","51","Franklin city","620","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51620","Franklin city, Virginia","","8015","7734","0","35","158","88","7892","1383","571","41","27","129","86","27","0","20","49","43","17","64","39","29","812","113","25","193","0","0","0","0","153","48","52","78","95","55","6509","3033","204","0","273","100","136","41","156","372","431","387","294","409","230","3476","172","6","192","103","87","42","126","362","532","556","609","367","322","7892","1383","206","322","113","458","200","41","43","6509","382","465","509","3366","1235","435","117","7904","3604","245","0","245","819","0","819","597","71","526","1236","134","1102","448","122","326","259","124","135","4300","285","41","244","660","110","550","641","50","591","1875","383","1492","462","166","296","377","175","202","0.3889","51620"
"G5106300","2016-2020","VA","","","Virginia","51","Fredericksburg city","630","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51630","Fredericksburg city, Virginia","","29059","25473","152","471","1181","1782","26530","3699","1822","85","50","272","111","0","30","373","250","201","40","196","175","39","1877","153","0","165","157","0","0","454","230","232","196","23","141","126","22831","10824","820","90","769","261","13","245","990","2451","1376","1361","1379","694","375","12007","931","73","700","526","176","243","1271","2196","1348","1408","1515","953","667","26530","3699","288","437","298","2075","436","136","29","22831","1914","1469","1464","13805","3137","723","319","28958","13238","907","0","907","1879","279","1600","4635","577","4058","4534","435","4099","869","178","691","414","181","233","15720","1181","0","1181","2066","70","1996","5864","675","5189","4722","480","4242","1094","243","851","793","442","351","0.4543","51630"
"G5106400","2016-2020","VA","","","Virginia","51","Galax city","640","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51640","Galax city, Virginia","","6402","5814","32","54","88","414","6106","1469","519","39","0","25","51","0","0","74","46","69","129","43","7","36","950","25","23","101","187","0","0","64","34","170","121","138","58","29","4637","2242","170","73","249","46","19","60","53","221","337","288","298","255","173","2395","168","24","132","73","47","65","214","165","356","365","249","289","248","6106","1469","87","126","238","781","172","32","33","4637","435","381","310","2232","858","287","134","6160","2815","209","0","209","577","55","522","394","32","362","1164","226","938","262","28","234","209","120","89","3345","193","0","193","652","101","551","477","78","399","1399","291","1108","347","188","159","277","167","110","0.5254","51640"
"G5106500","2016-2020","VA","","","Virginia","51","Hampton city","650","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51650","Hampton city, Virginia","","135169","125721","872","2184","4109","2283","130352","19933","8631","989","113","1030","526","325","344","1119","1032","763","507","1038","606","239","11302","983","103","1108","653","237","289","1284","1923","1177","1060","1236","575","674","110419","53933","3283","573","3744","1781","805","953","5489","9498","6352","6354","7480","4654","2967","56486","3007","517","3175","1926","672","934","4610","8525","6813","7193","8457","6098","4559","130352","19933","2188","2138","2374","10268","2052","640","273","110419","7380","6919","7071","63423","18100","5416","2110","128972","60330","4290","107","4183","10367","1109","9258","15395","1082","14313","21812","3842","17970","5260","1610","3650","3206","1639","1567","68642","4040","13","4027","9845","536","9309","17100","1561","15539","25751","4209","21542","6673","1889","4784","5233","2778","2455","0.4363","51650"
"G5106600","2016-2020","VA","","","Virginia","51","Harrisonburg city","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51660","Harrisonburg city, Virginia","","53558","43152","949","701","2779","5977","46370","11847","5343","284","28","274","170","0","11","3239","336","382","159","333","43","84","6504","300","97","95","126","0","26","4203","739","376","119","224","123","76","34523","17617","1081","224","1394","490","165","568","1751","3381","2476","2424","1762","1139","762","16906","888","198","1305","471","177","288","1622","2929","2354","2236","2008","1299","1131","46370","11847","709","369","333","9868","408","126","34","34523","2391","2699","2159","21433","3948","1230","663","52888","25551","1383","0","1383","3368","70","3298","11257","581","10676","7515","740","6775","1182","302","880","846","470","376","27337","1188","0","1188","2819","169","2650","13384","783","12601","7317","1078","6239","1422","376","1046","1207","677","530","0.4722","51660"
"G5106700","2016-2020","VA","","","Virginia","51","Hopewell city","670","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51670","Hopewell city, Virginia","","22500","20922","275","363","512","428","22279","5504","2349","328","50","344","236","28","319","303","84","135","134","279","68","41","3155","277","51","436","319","52","82","348","408","384","278","187","167","166","16775","7873","468","129","755","118","20","59","563","1504","956","1143","1014","715","429","8902","565","43","661","209","37","175","660","1317","1034","1181","1327","956","737","22279","5504","706","780","1036","2288","487","132","75","16775","1205","1416","618","9554","2816","878","288","22056","9983","796","0","796","2058","138","1920","2397","63","2334","3479","765","2714","783","344","439","470","250","220","12073","842","37","805","2081","123","1958","2733","406","2327","4391","811","3580","1123","382","741","903","506","397","0.4401","51670"
"G5106780","2016-2020","VA","","","Virginia","51","Lexington city","678","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51678","Lexington city, Virginia","","7205","6514","28","202","296","165","4210","932","427","0","0","0","15","0","0","150","248","0","0","14","0","0","505","0","0","16","0","0","22","308","15","0","32","44","42","26","3278","1627","130","0","35","0","34","36","89","235","214","130","288","331","105","1651","121","14","35","43","0","40","62","176","177","257","249","285","192","4210","932","0","16","37","785","68","12","14","3278","265","70","153","1609","884","204","93","7148","4194","130","0","130","149","13","136","2833","145","2688","646","164","482","331","143","188","105","28","77","2954","121","0","121","181","14","167","1348","47","1301","759","108","651","327","22","305","218","130","88","0.4425","51678"
"G5106800","2016-2020","VA","","","Virginia","51","Lynchburg city","680","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51680","Lynchburg city, Virginia","","80970","75895","111","909","1684","2371","70657","12069","5397","550","120","709","160","20","208","1635","614","450","259","393","241","38","6672","398","0","476","255","127","231","2261","1026","680","302","471","120","325","58588","27603","1896","226","1919","872","204","694","3526","5078","2894","2952","3178","2356","1808","30985","1817","267","2143","884","315","432","4222","4650","3051","3552","3844","3154","2654","70657","12069","1068","1185","1001","7572","880","232","131","58588","4206","4062","3401","33561","8896","3204","1258","79244","37105","2475","0","2475","5267","437","4830","14799","1183","13616","10121","2095","8026","2597","538","2059","1846","826","1020","42139","2250","0","2250","5262","259","5003","16539","1035","15504","11835","2162","9673","3274","633","2641","2979","1280","1699","0.4399","51680"
"G5106830","2016-2020","VA","","","Virginia","51","Manassas city","683","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51683","Manassas city, Virginia","","41038","29109","481","585","4355","6508","40896","2867","1200","164","0","192","62","6","50","120","111","168","117","195","2","13","1667","297","18","310","38","6","41","29","184","390","52","110","77","115","38029","19381","1382","228","1777","844","161","767","1694","3071","2951","2565","1989","1411","541","18648","1311","274","1526","671","139","534","1674","2847","2792","2333","2454","1236","857","40896","2867","479","502","203","1295","260","83","45","38029","3195","3303","3116","22262","4755","1037","361","40955","20636","1627","0","1627","4122","202","3920","4992","345","4647","7928","445","7483","1413","218","1195","554","167","387","20319","1618","0","1618","3573","134","3439","4734","121","4613","8109","442","7667","1313","294","1019","972","405","567","0.3977","51683"
"G5106850","2016-2020","VA","","","Virginia","51","Manassas Park city","685","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51685","Manassas Park city, Virginia","","17548","10094","101","442","3719","3192","17439","878","404","22","38","50","22","0","0","121","50","51","0","38","12","0","474","47","0","84","0","4","73","73","18","49","10","97","19","0","16561","8601","663","60","651","284","139","324","671","1177","1519","1554","789","510","260","7960","542","103","778","401","62","85","805","1229","1478","1013","747","423","294","17439","878","107","134","99","482","56","0","0","16561","1368","1429","1295","10088","1827","374","180","17529","9074","700","0","700","1641","134","1507","2019","94","1925","3932","313","3619","522","207","315","260","166","94","8455","589","0","589","1611","28","1583","2125","74","2051","3394","223","3171","442","164","278","294","155","139","0.3852","51685"
