"GISJOIN","YEAR","STUSAB","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AIHHTLI","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","ZCTA5A","SUBMCDA","SDELMA","SDSECA","SDUNIA","PCI","PUMAA","GEOID","NAME","BTTRA","AM0KE001","AM0KE002","AM0KE003","AM0KE004","AM0KE005","AM0KE006","AM63E001","AM63E002","AM63E003","AM63E004","AM63E005","AM63E006","AM63E007","AM63E008","AM63E009","AM63E010","AM63E011","AM63E012","AM63E013","AM63E014","AM63E015","AM63E016","AM63E017","AM63E018","AM63E019","AM63E020","AM63E021","AM63E022","AM63E023","AM63E024","AM63E025","AM63E026","AM63E027","AM63E028","AM63E029","AM63E030","AM63E031","AM63E032","AM63E033","AM63E034","AM63E035","AM63E036","AM63E037","AM63E038","AM63E039","AM63E040","AM63E041","AM63E042","AM63E043","AM63E044","AM63E045","AM63E046","AM63E047","AM63E048","AM63E049","AM63E050","AM63E051","AM63E052","AM63E053","AM63E054","AM63E055","AM63E056","AM63E057","AM63E058","AM63E059","AM70E001","AM70E002","AM70E003","AM70E004","AM70E005","AM70E006","AM70E007","AM70E008","AM70E009","AM70E010","AM70E011","AM70E012","AM70E013","AM70E014","AM70E015","AM70E016","AM70E017","AM8FE001","AM8FE002","AM8FE003","AM8FE004","AM8FE005","AM8FE006","AM8FE007","AM8FE008","AM8FE009","AM8FE010","AM8FE011","AM8FE012","AM8FE013","AM8FE014","AM8FE015","AM8FE016","AM8FE017","AM8FE018","AM8FE019","AM8FE020","AM8FE021","AM8FE022","AM8FE023","AM8FE024","AM8FE025","AM8FE026","AM8FE027","AM8FE028","AM8FE029","AM8FE030","AM8FE031","AM8FE032","AM8FE033","AM8FE034","AM8FE035","AM8FE036","AM8FE037","AM8FE038","AM8FE039","AM9SE001","FIPS"
"G5101530","2016-2020","VA","","","Virginia","51","Prince William County","153","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51153","Prince William County, Virginia","","466834","334724","3952","9900","64443","53815","460817","28066","12334","1369","504","1588","945","296","692","1230","1384","1551","1058","966","465","286","15732","1094","349","1669","607","290","598","1943","3033","2101","1203","1392","651","802","432751","216810","15608","3123","19759","9994","3405","6286","19182","29252","33159","32348","24866","13249","6579","215941","14795","2868","18652","9752","2731","6819","17586","28258","33445","32301","24997","15093","8644","460817","28066","3316","3257","3428","14895","2082","879","209","432751","36394","38411","38987","253641","50095","12166","3057","458891","226625","17407","9","17398","47418","2323","45095","49391","3075","46316","91830","6834","84996","13714","2986","10728","6865","2786","4079","232266","16344","28","16316","45041","1379","43662","50550","2022","48528","95141","7393","87748","15744","3303","12441","9446","4083","5363","0.3873","51153"
"G5101550","2016-2020","VA","","","Virginia","51","Pulaski County","155","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51155","Pulaski County, Virginia","","34113","33438","6","86","435","148","32858","4420","2137","144","41","260","160","3","100","317","373","177","296","101","116","49","2283","57","21","112","88","70","78","136","341","187","404","219","323","247","28438","14176","660","107","575","478","168","328","940","1511","1475","2240","2470","1954","1270","14262","693","150","775","483","51","321","902","1403","1513","1999","2404","2141","1427","32858","4420","263","372","499","2470","520","271","25","28438","1610","1350","1829","14642","6310","2211","486","32959","16363","804","0","804","2270","234","2036","3141","379","2762","6759","1262","5497","2070","738","1332","1319","680","639","16596","789","0","789","2192","157","2035","2782","307","2475","6695","1146","5549","2464","815","1649","1674","784","890","0.4153","51155"
"G5101570","2016-2020","VA","","","Virginia","51","Rappahannock County","157","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51157","Rappahannock County, Virginia","","7360","6917","0","136","135","172","7317","566","172","26","6","24","0","0","0","36","21","0","0","31","0","28","394","25","8","0","17","0","0","39","62","62","79","42","21","39","6751","3460","157","24","211","201","0","105","200","307","375","404","567","576","333","3291","69","94","235","84","23","29","216","354","284","376","615","565","347","7317","566","65","24","17","344","49","41","26","6751","344","446","442","3163","1676","465","215","7360","3632","183","0","183","571","71","500","564","45","519","1377","157","1220","576","121","455","361","135","226","3728","137","0","137","490","35","455","671","41","630","1458","192","1266","586","86","500","386","223","163","0.4771","51157"
"G5101590","2016-2020","VA","","","Virginia","51","Richmond County","159","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51159","Richmond County, Virginia","","8951","8503","8","50","120","270","7266","1213","533","32","0","59","43","0","0","63","149","19","62","28","61","17","680","0","0","171","30","0","0","1","97","129","112","15","67","58","6053","2977","116","5","211","211","7","80","229","246","320","477","395","301","379","3076","163","50","234","47","11","52","99","435","228","305","556","434","462","7266","1213","32","230","73","661","142","45","30","6053","334","445","408","2692","1333","686","155","7266","3510","148","0","148","616","73","543","687","35","652","1301","114","1187","362","150","212","396","131","265","3756","163","0","163","595","0","595","632","97","535","1345","215","1130","501","67","434","520","228","292","0.4499","51159"
"G5101610","2016-2020","VA","","","Virginia","51","Roanoke County","161","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51161","Roanoke County, Virginia","","94103","87662","426","655","3194","2166","91731","6069","2642","130","12","418","114","28","113","347","277","173","395","384","171","80","3427","159","35","248","48","29","174","438","435","430","409","502","248","272","85662","41914","2329","466","2805","1736","559","1140","3121","5036","5105","5492","5685","5152","3288","43748","1823","417","3291","1123","659","895","2534","4855","5294","5986","6383","5784","4704","91731","6069","336","666","506","3466","743","223","129","85662","5035","6096","6112","43583","16844","6050","1942","92195","44360","2513","0","2513","7447","588","6859","8774","802","7972","16935","1377","15558","5323","1014","4309","3368","1189","2179","47835","1982","0","1982","7000","253","6747","8841","643","8198","19004","1639","17365","6032","804","5228","4976","1870","3106","0.4403","51161"
"G5101630","2016-2020","VA","","","Virginia","51","Rockbridge County","163","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51163","Rockbridge County, Virginia","","22728","21899","8","117","398","306","22462","2807","1608","185","125","207","48","17","19","281","224","168","107","77","81","69","1199","51","7","48","6","12","72","187","207","80","85","208","60","176","19655","9583","377","119","391","265","41","244","562","811","1158","1266","1738","1509","1102","10072","401","88","636","215","151","258","552","911","1052","1332","1664","1507","1305","22462","2807","368","255","174","1501","264","204","41","19655","985","1027","1174","9611","4451","1743","664","22483","11174","562","0","562","1476","218","1258","1875","151","1724","4500","662","3838","1590","293","1297","1171","636","535","11309","472","0","472","1555","214","1341","1813","194","1619","4421","671","3750","1567","182","1385","1481","646","835","0.4787","51163"
"G5101650","2016-2020","VA","","","Virginia","51","Rockingham County","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51165","Rockingham County, Virginia","","81138","75730","324","506","2257","2321","79162","6290","2801","211","13","292","105","59","100","336","315","226","382","403","220","139","3489","245","23","297","77","36","98","619","252","441","383","274","355","389","72872","36073","2122","389","2885","1440","521","910","2696","4365","4342","4746","5110","3837","2710","36799","1859","467","2529","1470","449","1036","2394","4428","4359","4686","5636","3972","3514","79162","6290","492","589","475","3293","913","357","171","72872","4837","5414","5826","37699","12872","4517","1707","80783","39500","2360","0","2360","6787","343","6444","8252","489","7763","15195","1403","13792","4057","918","3139","2849","1219","1630","41283","2282","0","2282","6560","335","6225","8432","433","7999","15779","1905","13874","4327","729","3598","3903","1929","1974","0.4367","51165"
"G5101670","2016-2020","VA","","","Virginia","51","Russell County","167","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51167","Russell County, Virginia","","26937","26680","0","39","129","89","26661","4865","2398","109","46","67","58","0","101","257","120","288","476","445","266","165","2467","98","3","142","30","36","93","148","190","359","189","534","257","388","21796","10666","501","110","709","449","101","239","818","1283","1246","1332","1725","1359","794","11130","542","154","830","305","159","259","680","1186","1173","1695","1676","1444","1027","26661","4865","256","209","318","2539","990","320","233","21796","1307","1539","1512","11148","4469","1377","444","26692","13084","610","0","610","1900","187","1713","2478","349","2129","5512","1901","3611","1625","527","1098","959","690","269","13608","644","0","644","2018","125","1893","2204","197","2007","5626","1774","3852","1701","791","910","1415","797","618","0.4638","51167"
"G5101690","2016-2020","VA","","","Virginia","51","Scott County","169","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51169","Scott County, Virginia","","21761","21491","8","108","38","116","20899","3089","1410","40","95","176","48","0","0","144","66","85","216","255","133","152","1679","38","8","132","40","17","35","100","144","214","280","201","230","240","17810","8959","346","73","509","291","165","222","584","1048","1043","1183","1386","1211","898","8851","357","137","359","461","137","165","562","863","908","1214","1448","1282","958","20899","3089","181","308","140","1461","607","302","90","17810","913","868","1441","8818","3914","1363","493","20980","10444","456","7","449","1638","164","1474","1839","368","1471","4117","1408","2709","1344","435","909","1050","528","522","10536","401","5","396","1491","202","1289","1669","130","1539","4265","1489","2776","1512","422","1090","1198","716","482","0.4499","51169"
"G5101710","2016-2020","VA","","","Virginia","51","Shenandoah County","171","","","","","","","","","","","","","","","","","","","","","","","","","","","","05000US51171","Shenandoah County, Virginia","","43441","40637","297","545","630","1332","42948","5220","2026","205","18","260","162","18","92","139","93","139","379","275","101","145","3194","142","119","335","86","51","115","306","253","454","305","464","143","421","37728","19239","998","220","1147","792","257","507","1492","2342","2247","2483","2814","2371","1569","18489","945","141","1246","520","69","517","1183","2101","1990","2663","2791","2622","1701","42948","5220","484","595","524","2421","630","353","213","37728","2304","2393","2662","19404","7695","2528","742","43110","21287","1203","7","1196","3549","232","3317","4036","321","3715","8313","1263","7050","2472","655","1817","1714","740","974","21823","1087","8","1079","3339","421","2918","3843","193","3650","8667","1205","7462","2765","494","2271","2122","1313","809","0.5678","51171"
